metric,value,source_grb,source_box,commit_hash,note
221009a_total_crc_passed,17851510,221009A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events with valid CRC, full observation hour
221009a_fifo_reset_gaps,4006,221009A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,FIFO reset gaps detected
221009a_unreliable_packets,4008,221009A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,packets flagged unreliable
221009a_reconstruct_observed,4824388,221009A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events observed in reconstruction window
221009a_reconstruct_filled,3879121,221009A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events gap-filled in reconstruction window
221009a_total_crc_passed,17551542,221009A,B,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events with valid CRC, full observation hour
221009a_fifo_reset_gaps,3873,221009A,B,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,FIFO reset gaps detected
221009a_unreliable_packets,3880,221009A,B,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,packets flagged unreliable
221009a_reconstruct_observed,4741975,221009A,B,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events observed in reconstruction window
221009a_reconstruct_filled,3766970,221009A,B,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events gap-filled in reconstruction window
221009a_total_crc_passed,17394250,221009A,C,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events with valid CRC, full observation hour
221009a_fifo_reset_gaps,3749,221009A,C,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,FIFO reset gaps detected
221009a_unreliable_packets,3754,221009A,C,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,packets flagged unreliable
221009a_reconstruct_observed,4693426,221009A,C,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events observed in reconstruction window
221009a_reconstruct_filled,3655761,221009A,C,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events gap-filled in reconstruction window
221009a_coverage_pct_a,96.4,221009A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,main.tex value, RE-VERIFY on full-data run
221009a_coverage_pct_b,96.3,221009A,B,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,main.tex value, RE-VERIFY on full-data run
221009a_coverage_pct_c,96.1,221009A,C,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,main.tex value, RE-VERIFY on full-data run
221009a_xref_two_boxes_a,49.2,221009A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,%% gaps with 2 reference boxes available
221009a_xref_at_least_one_a,92.0,221009A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,%% gaps with >=1 reference box
221009a_xref_three_saturated_a,8.0,221009A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,%% gaps with all 3 boxes saturated
260226a_box_a_1b_event_count,549658,260226A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,main.tex value, RE-VERIFY
260226a_box_a_1k_event_count,549661,260226A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,main.tex value, RE-VERIFY
260226a_box_a_residual,3,260226A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,1B vs 1K event count residual
260226a_residual_fraction_pct,0.000546,260226A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,3 / 549661 in percent
200415a_reconstruct_total,46933,200415A,A,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events in reconstruct window (April 2026 cache)
200415a_reconstruct_total,48126,200415A,B,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events in reconstruct window (April 2026 cache)
200415a_reconstruct_total,47731,200415A,C,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events in reconstruct window (April 2026 cache)
200415a_filled_event_count,2285,200415A,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events filled by reconstruction (1.6%% of total)
200415a_peak_observed_evt_per_s,29400,200415A,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,peak observed rate at 50ms bin
200415a_peak_recovered_evt_per_s,48800,200415A,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,peak rate after gap-fill (+66%%)
200415a_spiacs_ratio,1.09,200415A,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,HXMT/SPI-ACS scale ratio (50ms bin)
200415a_spiacs_ratio_err,0.14,200415A,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,ratio uncertainty
200415a_spiacs_lighttravel_ms,-406.6,200415A,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,INTEGRAL light-travel projection
ptime_modulus,524288,ALL,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,2^19, ptime range
ptime_resolution_us,2.0,ALL,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,us per ptime tick
ptime_wrap_period_s,1.048576,ALL,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,PTIME_MOD * 2us
dead_zone_pct,4.6,ALL,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,ptime SPACE fraction (NOT event loss); structural feature
met_correction_s,4.0,ALL,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,1B->1K empirical time offset
mcu_read_floor_evt_per_s,15000,ALL,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,MCU readout rate floor
fifo_a_capacity_events,455,ALL,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,approximate, 4096 bytes / 9 bytes per event
ccsds_packet_event_count,109,ALL,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,events per packet
crc_bits,4,ALL,ALL,3231b40c0e1a39fa841d4cd6f8fc0e47dec2433a,1/16 collision probability
